imdb_id,title,year,director,region_code,budget_usd,us_gross,genres,date,runtime_minutes,averagerating
tt0365376,A Tale of Two Sisters,2003,Jee-woon Kim,KR,-1.0,73000.0,"Drama, Horror, Mystery",,,
tt0365485,The Matador,2005,Richard Shepard,US,12000000.0,13000000.0,"Comedy, Crime, Thriller",2005-05-12,,
tt0365545,Nappily Ever After,2018,Haifaa Al-Mansour,US,-1.0,-1.0,"Comedy, Drama, Romance",,98.0,6.4
tt0365686,Revolver,2005,Guy Ritchie,FR,-1.0,85000.0,"Action, Crime, Drama",2005-09-11,,
tt0365737,Syriana,2005,Stephen Gaghan,US,50000000.0,51000000.0,"Drama, Thriller",2005-11-23,,
tt0365748,Shaun of the Dead,2004,Edgar Wright,US,4683840.74941452,14000000.0,"Comedy, Horror",2004-04-09,,
tt0365830,Tenacious D in the Pick of Destiny,2006,Liam Lynch,US,20000000.0,8300000.000000001,"Adventure, Comedy, Music",2006-11-22,,
tt0365907,A Walk Among the Tombstones,2014,Scott Frank,US,28000000.0,26000000.0,"Action, Crime, Drama",2014-09-18,114.0,6.5
tt0365929,Whiteout,2009,Dominic Sena,US,35000000.0,10000000.0,"Action, Crime, Horror",2009-09-09,,
tt0365957,You Got Served,2004,Chris Stokes,US,8000000.0,40000000.0,"Drama, Music",2004-01-30,,
tt0366174,Anacondas: The Hunt for the Blood Orchid,2004,Dwight H. Little,US,20000000.0,32000000.0,"Action, Adventure, Horror",2004-08-26,,
tt0366450,Five Children and It,2004,John Stephenson,GB,16000000.0,-1.0,"Adventure, Family, Fantasy",,,
tt0366544,Geminis,2005,Albertina Carri,unknown,-1.0,-1.0,Drama,,,
tt0366548,Happy Feet,2006,George Miller,US,100000000.0,198000000.0,"Animation, Adventure, Comedy",2006-11-16,,
tt0366551,Harold & Kumar Go to White Castle,2004,Danny Leiner,US,9000000.0,18000000.0,"Adventure, Comedy",2004-05-30,,
